"Interval start","witness 1","witness 2","witness 3"
583,4386,4386,4228
584,4386,5239,5239
585,5796,5392,6570
586,4608,4534,4376
587,5538,6032,5634
588,5632,5632,4228
589,4386,4386,4228
590,5280,6526,6368
591,4608,4534,4376
592,4796,5723,5313
593,4796,4228,4796
594,4386,4228,4386
595,4460,4302,4460
596,4608,4376,4534
597,5538,5694,5612
598,5728,5160,4796
599,6013,6013,6092
600,5638,4460,5796
601,4376,4534,4534
602,4712,4870,4460
603,5794,5952,4386
604,4228,4796,4796
605,4302,6606,6606
606,4376,4534,4534
607,6885,6825,5792
608,4386,4228,4386
609,4386,4228,4386
610,4460,4712,4870
611,4534,4376,4534
612,5392,4302,5392
613,4890,6311,5491
614,5239,4796,5649
615,5796,4460,5638
616,4534,4534,4376
617,6386,6032,6724
618,7334,6402,5160
619,4386,4386,4228
620,4460,5706,5548
621,4534,4534,4376
622,4460,4460,4302
623,4386,4386,4228
624,5239,4796,5649
625,5392,5234,4460
626,4534,5387,5387
627,6122,5972,5724
628,4386,4386,4228
629,4386,4386,4228
630,5886,4460,5728
631,4534,4534,4376
632,4460,4870,4712
633,6222,6222,4228
634,4386,5318,5318
635,4460,5728,5886
636,5056,4883,4203
637,5332,5603,4987
638,4386,4228,4386
639,5318,5160,6250
640,4302,4460,4460
641,4376,4534,4534
642,5313,5313,4460
643,5239,5239,4386
644,4228,4386,4386
645,5638,4460,5796
646,4302,4460,4534
647,5938,6106,6202
648,6316,5542,5318
649,4796,5649,5081
650,4460,5548,5706
651,4460,4302,4534
652,4534,5387,5471
653,5570,4796,5160
654,4228,4796,4796
655,4302,4460,4460
656,4302,4460,4534
657,5528,5926,5612
658,4228,4386,4386
659,5318,6171,5397
660,6206,4460,6048
661,4386,4460,4302
662,5382,4534,5308
663,5474,5632,4386
664,4228,4386,4386
665,4302,5706,5706
666,4228,4460,4386
667,5842,5686,5760
668,4070,5081,5081
669,4732,4732,4732
670,4396,4396,3986
671,3912,3986,3912
672,4134,4060,4134
673,3912,4322,4322
674,3912,3912,3912
675,5732,4396,5322
676,4322,3912,4322
677,5286,5286,5526
678,5068,6079,4923
679,4717,4954,5443
680,6864,8397,8761
681,4460,4386,4228
682,5018,5018,4450
683,4386,4386,4228
684,4386,5160,5160
685,4796,4638,4386
686,5234,5392,4460
687,5842,5850,5850
688,4638,4386,4796
689,4070,5002,5002
690,5036,3912,5036
691,5209,4997,4356
692,4608,4608,4450
693,5722,5722,4228
694,4386,5160,5160
695,5081,5856,6867
696,3497,3497,3008
697,7263,5602,7023
698,4386,4228,4386
699,4386,4228,4386
700,4796,4638,4386
701,5155,4554,5565
702,4134,4134,4134
703,3912,3912,3912
704,3912,3912,3912
705,4688,4322,4278
706,5276,3986,5276
707,5286,5616,5376
708,6090,5158,4844
709,4386,4228,4386
710,4386,5474,5632
711,4460,4302,4460
712,5461,5387,4534
713,4638,4460,4870
714,4070,5081,5081
715,5239,4228,5239
716,4870,4302,4870
717,6180,5708,5686
718,4386,4302,4460
719,4386,4228,4386
720,4386,4228,4386
721,5616,4302,5616
722,4608,4376,4534
723,6917,7923,5234
724,4070,5081,5081
725,4228,5542,5542
726,5234,5392,4460
727,5926,5618,5776
728,4870,4302,4870
729,4386,4228,4386
730,4386,5239,5239
731,4460,4460,4302
732,4944,5876,5466
733,5392,5234,4460
734,5318,5160,4386
735,4796,5048,4796
736,5616,4302,5616
737,5686,5948,5866
738,6116,5548,4870
739,5318,4228,5318
740,3912,5248,5248
741,3986,3986,3986
742,4992,4992,4060
743,4460,4460,4302
744,4386,4386,4228
745,5318,5728,4638
746,3986,4396,4396
747,6621,6471,7324
748,4460,4460,4302
749,4386,4386,4228
750,6171,6171,4070
751,5706,4460,5548
752,4534,4534,4376
753,5796,5796,4302
